sum,sport,science,social,purity,marks_clear,ID
4.24,0,0,0,0,4.24,95685
4.24,0,0,0,0,4.24,96771
4.22,0,0,0,0,4.22,97170
4.2,0,0,0,0,4.2,84677
4.21,0,0,0,0,4.21,96768
4.17,0,0,0,0,4.17,96106
4.13,0,0,0,0,4.13,96167
4.1,0,0,0,0,4.1,81340
4.1,0,0,0,0,4.1,90708
4.11,0,0,0,0,4.11,90584
4.1,0,0,0,0,4.1,81891
4.1,0,0,0,0,4.1,93177
4.06,0,0,0,0,4.06,96135
4,0,0,0,0,4,90903
4,0,0,0,0,4,96161
4,0,0,0,0,4,95975
4,0,0,0,0,4,96183
4,0,0,0,0,4,96180
3.95,0,0,0,0,3.95,96134
3.94,0,0,0,0,3.94,96059
3.94,0,0,0,0,3.94,95663
3.94,0,0,0,0,3.94,96175
3.94,0,0,0,0,3.94,96177
3.91,0,0,0,0,3.91,90241
3.88,0,0,0,0,3.88,96129
3.9,0,0,0,0,3.9,85656
3.84,0,0,0,0,3.84,96061
3.84,0,0,0,0,3.84,96115
3.84,0,0,0,0,3.84,96102
3.82,0,0,0,0,3.82,96171
3.82,0,0,0,0,3.82,96178
3.82,0,0,0,0,3.82,96192
3.82,0,0,0,0,3.82,96185
3.8,0,0,0,0,3.8,80787
3.76,0,0,0,0,3.76,96193
3.8,0,0,0,0,3.8,85679
3.76,0,0,0,0,3.76,95935
3.75,0,0,0,0,3.75,95917
3.75,0,0,0,0,3.75,96179
3.6,0,0,0,0,3.6,80582
3.6,0,0,0,0,3.6,72825
2.3,0,0,0,0,2.3,71950
2,0,2,0,0,0,81268
1,1,0,0,0,0,80826
0,0,0,0,0,0,96128
0,0,0,0,0,0,96137
0,0,0,0,0,0,96132
0,0,0,0,0,0,82039
0,0,0,0,0,0,85260
